"Path","Type","Level","Project","Kind","Completed"
"Effective coaching","current","LEVEL ONE: Mastering Fundamentals","Ice breaker","Required",""
"Effective coaching","current","LEVEL ONE: Mastering Fundamentals","Evaluation and feedback","Required",""
"Effective coaching","current","LEVEL ONE: Mastering Fundamentals","Researching and presenting","Required",""
"Effective coaching","current","LEVEL TWO: Learning Your Style","Understanding your leadership style","Required",""
"Effective coaching","current","LEVEL TWO: Learning Your Style","Understanding your communication style","Required",""
"Effective coaching","current","LEVEL TWO: Learning Your Style","Introduction to toastmasters mentoring","Required",""
"Effective coaching","current","LEVEL THREE: Increasing Knowledge","Reaching consensus","Required",""
"Effective coaching","current","LEVEL THREE: Increasing Knowledge","Elective choice 1 of 2","Elective",""
"Effective coaching","current","LEVEL THREE: Increasing Knowledge","Elective choice 2 of 2","Elective",""
"Effective coaching","current","LEVEL FOUR: Building Skills","Improvement through positive coaching","Required",""
"Effective coaching","current","LEVEL FOUR: Building Skills","Elective choice 1 of 1","Elective",""
"Effective coaching","current","LEVEL FIVE: Demonstrating Expertise","High performance leadership","Required",""
"Effective coaching","current","LEVEL FIVE: Demonstrating Expertise","Reflect on your path","Required",""
"Effective coaching","current","LEVEL FIVE: Demonstrating Expertise","Elective choice 1 of 1","Elective",""
"Dynamic Leadership","current","LEVEL ONE: Mastering Fundamentals","Ice breaker","Required",""
"Dynamic Leadership","current","LEVEL ONE: Mastering Fundamentals","Evaluation and feedback","Required",""
"Dynamic Leadership","current","LEVEL ONE: Mastering Fundamentals","Researching and presenting","Required",""
"Dynamic Leadership","current","LEVEL ONE: Mastering Fundamentals","Table Topics Speaker (post-Oct 2025 only)","Meeting Role",""
"Dynamic Leadership","current","LEVEL ONE: Mastering Fundamentals","Evaluator (post-Oct 2025 only)","Meeting Role",""
"Dynamic Leadership","current","LEVEL ONE: Mastering Fundamentals","Timer OR Ah-Counter (post-Oct 2025 only)","Meeting Role",""
"Dynamic Leadership","current","LEVEL TWO: Learning Your Style","Understanding your leadership style","Required",""
"Dynamic Leadership","current","LEVEL TWO: Learning Your Style","Connect with your audience","Required",""
"Dynamic Leadership","current","LEVEL TWO: Learning Your Style","Introduction to toastmasters mentoring","Required",""
